voor (vz. van plaats);أَهَامَ;ʾamāma
onthouden, bewaren, uit het hoofd leren;حَفِظَ;ḥafiẓa
hem, zijn, hij;ﻪُ;-hu
leren;دَرَسَ;darasa
God beware je!;حَفِظَك اللّٰه!;ḥafiẓa-k allāh
les;دَرْسٌ (دُرُوسٌ);dars-un
lezen;قَرَأَ;qaraʾa
schrijven;كَتَبَ;kataba
maar;لٰكِنَّ، وَلٰكَنْ;lākinna, wa-lākin
maar hij;لٰكِنَّهُ;lākinna-hu
moeilijk;صَعْبٌ (صِعَابٌ);ṣaʿb-un
nemen;أَخَذَ;ʾaḫaḏa
schrift;رَفْتَرٌ (رَفَاتِرُ);daftar-un
pen;قَلَمٌ (أَقْلَامٌ);qalam-un
inkt;حِبْرٌ;ḥibr-un
daarom;لِذٰلِكَ;li-dālika
vergeten;نَسِيَ;nasiya
Yusuf;يُوسُفْ;yūsuf
binnengaan;دَخَلَ;daḫala
'de meester';أَلْمُعَلِّمُ;al-muʿallim-u
niet zijn;لَيْسَ، لَيْسسَتْ (م);laysa (m), laysat (v)
speelplaats;مَلْعَبٌ (هَلَاعِبُ);malʿab-un
(school)bord;لَوْحٌ (أَاْوَحٌ);lawḥ-un
leerlingen;تَلَاهِيذُ;talāmīḏ-u
leggen, zetten;وَضَعَ;waḍaʿa
bureau;هَكْتَبٌ (هَكَاتِبُ);maktab-un
klas;فَصْلٌ (فُصُولٌ);faṣl-un
natuurlijk;طَبْعاً;ṭabʿan
vragen;سَآَلَ;saʾala
vraag;سُؤَالٌ (أَسْئِلَةٌ);suʾāl-un
makkelijk;سَهْلٌ;sahl-un
met mij;هَعِي;maʿī
met jou;هَعَكَ، هَعَكِ (م);maʿa-ka (m), maʿa-ki (v)
tekst;نَصٌّ (نُصُوصٌ);naṣṣ-un
